SessionID,Cluster,Steps,InitBKT,FinalBKT,GainBKT,TrueGain,Hints,Errors
sim_cluster_0_0_1766737258,Struggling_Persisting,10,0.2,0.0,-0.2,0.0,0,8
sim_cluster_0_3_1766737258,Struggling_Persisting,10,0.2,0.2515309280234669,0.05153092802346687,0.0,3,6
sim_cluster_0_11_1766737258,Struggling_Persisting,10,0.2,0.5443452982785291,0.34434529827852906,0.0,1,7
sim_cluster_0_1_1766737258,Struggling_Persisting,10,0.2,0.17147885717404582,-0.028521142825954193,0.0,0,9
sim_cluster_0_10_1766737258,Struggling_Persisting,10,0.2,0.17203644424780234,-0.027963555752197666,0.0,0,8
sim_cluster_0_5_1766737258,Struggling_Persisting,10,0.2,0.8735706785338468,0.6735706785338469,0.0,0,8
sim_cluster_0_17_1766737258,Struggling_Persisting,10,0.2,0.17498128581367167,-0.02501871418632834,0.0,1,7
sim_cluster_0_15_1766737258,Struggling_Persisting,10,0.2,0.17374719095950417,-0.026252809040495845,0.0,0,9
sim_cluster_0_18_1766737258,Struggling_Persisting,6,0.1,0.9761370596770564,0.8761370596770565,0.0,0,2
sim_cluster_0_13_1766737258,Struggling_Persisting,10,0.2,0.2665937471117622,0.06659374711176219,0.0,0,9
sim_cluster_0_2_1766737258,Struggling_Persisting,10,0.1,0.3235449110877448,0.2235449110877448,0.0,1,6
sim_cluster_0_19_1766737258,Struggling_Persisting,10,0.2,0.1986259996066548,-0.0013740003933452039,0.0,0,8
sim_cluster_0_4_1766737258,Struggling_Persisting,10,0.1,0.0,-0.1,0.0,0,6
sim_cluster_0_9_1766737258,Struggling_Persisting,10,0.2,0.2515309280234669,0.05153092802346687,0.0,3,6
sim_cluster_0_20_1766737264,Struggling_Persisting,8,0.2,0.9832873975181411,0.7832873975181411,0.0,1,3
sim_cluster_0_6_1766737258,Struggling_Persisting,10,0.2,0.17142857156855684,-0.02857142843144317,0.0,0,10
sim_cluster_0_12_1766737258,Struggling_Persisting,10,0.1,0.5439279207057971,0.4439279207057971,0.0,1,7
