SessionID,Cluster,Steps,InitBKT,FinalBKT,GainBKT,TrueGain,Hints,Errors
sim_cluster_0_0_1775309030,Struggling_Persisting,7,0.1,0.99,0.89,0.571472,5,5
sim_cluster_0_1_1775309030,Struggling_Persisting,7,0.1,0.99,0.89,0.571472,5,5
sim_cluster_0_2_1775309030,Struggling_Persisting,6,0.1,0.99,0.89,0.41479999999999995,3,3
sim_cluster_0_3_1775309030,Struggling_Persisting,7,0.1,0.99,0.89,0.571472,5,5
sim_cluster_0_4_1775309030,Struggling_Persisting,6,0.1,0.99,0.89,0.41479999999999995,3,3
sim_cluster_0_5_1775309030,Struggling_Persisting,6,0.1,0.99,0.89,0.41479999999999995,3,3
sim_cluster_0_6_1775309030,Struggling_Persisting,7,0.1,0.99,0.89,0.50184,4,4
sim_cluster_0_7_1775309030,Struggling_Persisting,6,0.1,0.99,0.89,0.30599999999999994,2,2
sim_cluster_0_8_1775309030,Struggling_Persisting,7,0.1,0.99,0.89,0.571472,5,5
sim_cluster_0_9_1775309030,Struggling_Persisting,7,0.1,0.99,0.89,0.571472,5,5
sim_cluster_1_0_1775309030,Low_Performer,6,0.1,0.99,0.89,0.22199999999999998,2,2
sim_cluster_1_1_1775309030,Low_Performer,7,0.1,0.99,0.89,0.382395,4,4
sim_cluster_1_2_1775309030,Low_Performer,7,0.1,0.99,0.89,0.382395,4,4
sim_cluster_1_3_1775309030,Low_Performer,6,0.1,0.99,0.89,0.30870000000000003,3,3
sim_cluster_1_4_1775309030,Low_Performer,7,0.1,0.99,0.89,0.382395,4,4
sim_cluster_1_5_1775309030,Low_Performer,7,0.1,0.99,0.89,0.382395,4,4
sim_cluster_1_6_1775309030,Low_Performer,6,0.1,0.99,0.89,0.30870000000000003,3,3
sim_cluster_1_7_1775309030,Low_Performer,6,0.1,0.99,0.89,0.22199999999999998,2,2
sim_cluster_1_8_1775309030,Low_Performer,6,0.1,0.99,0.89,0.30870000000000003,3,3
sim_cluster_1_9_1775309030,Low_Performer,6,0.1,0.99,0.89,0.30870000000000003,3,3
sim_cluster_2_0_1775309030,Average,6,0.1,0.99,0.89,0.11399999999999999,2,2
sim_cluster_2_1_1775309030,Average,6,0.1,0.99,0.89,0.16259999999999997,3,3
sim_cluster_2_2_1775309030,Average,6,0.1,0.99,0.89,0.16259999999999997,3,3
sim_cluster_2_3_1775309030,Average,7,0.1,0.99,0.89,0.20633999999999997,4,4
sim_cluster_2_4_1775309030,Average,7,0.1,0.99,0.89,0.20633999999999997,4,4
sim_cluster_2_5_1775309030,Average,6,0.1,0.99,0.89,0.16259999999999997,3,3
sim_cluster_2_6_1775309030,Average,6,0.1,0.99,0.89,0.11399999999999999,2,2
sim_cluster_2_7_1775309030,Average,6,0.1,0.99,0.89,0.16259999999999997,3,3
sim_cluster_2_8_1775309030,Average,5,0.1,0.99,0.89,0.06,1,1
sim_cluster_2_9_1775309030,Average,5,0.1,0.99,0.89,0.06,1,1
sim_cluster_3_0_1775309030,High_Performer,6,0.1,0.99,0.89,0.03412499999999996,2,2
sim_cluster_3_1_1775309030,High_Performer,6,0.1,0.99,0.89,0.03412499999999996,2,2
sim_cluster_3_2_1775309030,High_Performer,5,0.1,0.99,0.89,0.01749999999999996,1,1
sim_cluster_3_3_1775309030,High_Performer,6,0.1,0.99,0.89,0.03412499999999996,2,2
sim_cluster_3_4_1775309030,High_Performer,5,0.1,0.99,0.89,0.0,0,0
sim_cluster_3_5_1775309030,High_Performer,5,0.1,0.99,0.89,0.0,0,0
sim_cluster_3_6_1775309030,High_Performer,5,0.1,0.99,0.89,0.01749999999999996,1,1
sim_cluster_3_7_1775309030,High_Performer,6,0.1,0.99,0.89,0.04991875000000001,3,3
sim_cluster_3_8_1775309030,High_Performer,6,0.1,0.99,0.89,0.03412499999999996,2,2
sim_cluster_3_9_1775309030,High_Performer,5,0.1,0.99,0.89,0.01749999999999996,1,1
